,air_temp_2,air_temp_3,air_temp_4,air_temp_5,air_temp_6,air_temp_7,air_temp_8,air_temp_9,air_temp_10,air_temp_11,air_temp_12,air_temp_13,air_temp_14,air_temp_15,air_temp_16,air_temp_17,air_temp_18,air_temp_19,air_temp_20,air_temp_21,air_temp_22,air_temp_23,air_temp_24,air_temp_25,air_temp_26,air_temp_27,air_temp_28,air_temp_29,air_temp_30,snow_depth_1,air_temp_1
2020-10-01 18:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.068,20.88
2020-10-01 19:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.1,19.52
2020-10-01 20:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.084,18.71
2020-10-01 21:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.084,19.09
2020-10-01 22:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.878,19.3
2020-10-01 23:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.1,18.25
2020-10-02 00:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.068,18.92
2020-10-02 01:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.02,19.17
2020-10-02 02:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.116,18.66
2020-10-02 03:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.052,18.51
2020-10-02 04:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.068,18.12
2020-10-02 05:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.084,17.57
2020-10-02 06:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.068,17.25
2020-10-02 07:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.878,17.17
2020-10-02 08:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.878,17.09
2020-10-02 09:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.068,17.0
2020-10-02 10:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.878,17.01
2020-10-02 11:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.052,18.58
2020-10-02 12:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.894,19.71
2020-10-02 13:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.02,20.31
2020-10-02 14:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.02,20.42
2020-10-02 15:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.036,22.32
2020-10-02 16:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.94,22.55
2020-10-02 17:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.02,21.45
2020-10-02 18:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.084,19.48
2020-10-02 19:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.052,18.09
2020-10-02 20:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.068,17.46
2020-10-02 21:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.1,18.41
2020-10-02 22:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.878,18.65
2020-10-02 23:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.1,17.96
2020-10-03 00:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.878,17.56
2020-10-03 01:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.052,17.63
2020-10-03 02:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.084,17.46
2020-10-03 03:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.91,17.47
2020-10-03 04:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.052,17.17
2020-10-03 05:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.116,16.29
2020-10-03 06:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.116,15.95
2020-10-03 07:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.1,16.04
2020-10-03 08:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.1,15.68
2020-10-03 09:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.052,15.61
2020-10-03 10:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.094,16.1
2020-10-03 11:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.894,16.83
2020-10-03 12:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.116,18.83
2020-10-03 13:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.068,19.58
2020-10-03 14:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.068,19.54
2020-10-03 15:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.052,20.82
2020-10-03 16:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.878,20.09
2020-10-03 17:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.1,19.84
2020-10-03 18:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.1,19.26
2020-10-03 19:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.03,18.07
2020-10-03 20:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.1,17.96
2020-10-03 21:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.908,18.2
2020-10-03 22:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.1,18.43
2020-10-03 23:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.1,18.83
2020-10-04 00:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.084,18.85
2020-10-04 01:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.066,15.86
2020-10-04 02:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.068,16.11
2020-10-04 03:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.098,16.34
2020-10-04 04:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.09,15.85
2020-10-04 05:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.1,15.77
2020-10-04 06:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.036,15.65
2020-10-04 07:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.114,15.54
2020-10-04 08:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.05,14.81
2020-10-04 09:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.084,14.94
2020-10-04 10:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.94,16.86
2020-10-04 11:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.052,19.21
2020-10-04 12:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.036,21.13
2020-10-04 13:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.972,22.38
2020-10-04 14:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.894,21.0
2020-10-04 15:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.02,22.66
2020-10-04 16:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.972,22.15
2020-10-04 17:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.052,20.53
2020-10-04 18:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.878,18.74
2020-10-04 19:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.882,17.13
2020-10-04 20:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.052,16.08
2020-10-04 21:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.114,16.02
2020-10-04 22:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.878,15.87
2020-10-04 23:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.02,15.31
2020-10-05 00:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.1,14.73
2020-10-05 01:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.934,14.49
2020-10-05 02:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.908,13.99
2020-10-05 03:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.07,13.45
2020-10-05 04:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.016,13.35
2020-10-05 05:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.94,13.66
2020-10-05 06:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.116,12.92
2020-10-05 07:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.052,12.62
2020-10-05 08:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.104,12.85
2020-10-05 09:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.942,12.6
2020-10-05 10:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.926,13.1
2020-10-05 11:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.068,15.28
2020-10-05 12:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.878,17.93
2020-10-05 13:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.116,17.97
2020-10-05 14:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.068,19.17
2020-10-05 15:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.068,19.07
2020-10-05 16:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.068,19.02
2020-10-05 17:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.918,19.13
2020-10-05 18:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.084,19.22
2020-10-05 19:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.95,16.32
2020-10-05 20:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.094,15.5
2020-10-05 21:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,16.34
2020-10-05 22:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.084,14.98
2020-10-05 23:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.062,15.71
2020-10-06 00:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.116,14.77
2020-10-06 01:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.1,14.37
2020-10-06 02:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.126,14.29
2020-10-06 03:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.1,14.35
2020-10-06 04:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.968,13.7
2020-10-06 05:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.916,14.73
2020-10-06 06:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.066,14.32
2020-10-06 07:00:00-06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.03,14.59
