"TOA5","30751","CR1000X","30751","CR1000X.Std.05.01","CPU:4comp_campbell_noheater.CR1X","16314","Minute"
"TIMESTAMP","RECORD","SR01Up_Avg","SR01Dn_Avg","IR01Up_Avg","IR01Dn_Avg","NR01TC_Avg","NR01TK_Avg","NetRs_Avg","NetRl_Avg","Albedo_Avg","UpTot_Avg","DnTot_Avg","NetTot_Avg","IR01UpCo_Avg","IR01DnCo_Avg"
"TS","RN","W/m2","W/m2","W/m2","W/m2","Deg C","K","W/m2","W/m2","W/m2","W/m2","W/m2","W/m2","W/m2","W/m2"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2021-10-27 14:47:00",0,108.7,7.35,32.54,-11.58,25.5,298.7,101.3,44.12,0.068,141.2,-4.23,145.4,483.6,439.5
"2021-10-27 14:48:00",1,106.2,7.328,32.61,-11.68,25.55,298.7,98.9,44.29,0.069,138.9,-4.349,143.2,484,439.7
"2021-10-27 14:49:00",2,93.9,6.389,32.68,-11.57,25.62,298.8,87.5,44.26,0.068,126.6,-5.183,131.8,484.5,440.2
"2021-10-27 14:50:00",3,72.52,4.677,32.73,-10.96,25.68,298.8,67.84,43.69,0.064,105.2,-6.285,111.5,484.9,441.2
"2021-10-27 14:51:00",4,78.52,5.421,32.61,-10.73,25.73,298.9,73.1,43.34,0.069,111.1,-5.313,116.4,485.1,441.7
"2021-10-27 14:52:00",5,82.7,6.056,32.67,-10.03,25.79,298.9,76.6,42.7,0.073,115.3,-3.975,119.3,485.5,442.8
"2021-10-27 14:53:00",6,86.2,6.544,32.69,-10.52,25.85,299,79.67,43.21,0.076,118.9,-3.981,122.9,485.9,442.7
"2021-10-27 14:54:00",7,95,7.506,32.67,-10.75,25.92,299.1,87.5,43.42,0.079,127.7,-3.245,130.9,486.3,442.8
"2021-10-27 14:55:00",8,98.3,7.788,32.53,-11.31,25.98,299.1,90.5,43.84,0.079,130.8,-3.522,134.3,486.5,442.6
"2021-10-27 14:56:00",9,93.3,7.065,32.32,-12.79,26.02,299.2,86.3,45.11,0.076,125.6,-5.73,131.4,486.5,441.4
"2021-10-27 14:57:00",10,94.8,6.126,31.99,-14.4,26.05,299.2,88.7,46.38,0.065,126.8,-8.27,135.1,486.4,440
"2021-10-27 14:58:00",11,78.69,3.538,31.65,-15.25,26.07,299.2,75.15,46.9,0.044,110.3,-11.71,122.1,486.2,439.3
"2021-10-27 14:59:00",12,72.03,1.898,31.3,-16.02,26.07,299.2,70.13,47.32,0.026,103.3,-14.12,117.5,485.8,438.5
"2021-10-27 15:00:00",13,82,1.51,31.06,-16.65,26.06,299.2,80.5,47.71,0.018,113,-15.14,128.2,485.5,437.8
"2021-10-27 15:01:00",14,84.6,0.913,30.92,-17.18,26.06,299.2,83.7,48.1,0.011,115.6,-16.27,131.8,485.4,437.2
"2021-10-27 15:02:00",15,86.5,0.852,30.81,-17.46,26.05,299.2,85.7,48.27,0.01,117.3,-16.61,133.9,485.2,436.9
"2021-10-27 15:03:00",16,82.9,0.202,30.62,-17.86,26.04,299.2,82.7,48.49,0.002,113.5,-17.66,131.2,485,436.5
"2021-10-27 15:04:00",17,84.9,0.198,30.41,-18.09,26.03,299.2,84.7,48.51,0.002,115.3,-17.9,133.2,484.7,436.2
"2021-10-27 15:05:00",18,80.8,-0.515,30.42,-18.29,26.01,299.2,81.3,48.7,-0.006,111.2,-18.8,130,484.6,435.9
"2021-10-27 15:06:00",19,81.3,-0.322,30.39,-18.28,26,299.1,81.6,48.67,-0.004,111.7,-18.6,130.3,484.5,435.8
"2021-10-27 15:07:00",20,83.8,0.042,30.49,-18.44,25.99,299.1,83.7,48.92,0.001,114.3,-18.4,132.7,484.5,435.6
"2021-10-27 15:08:00",21,79.61,-0.802,30.41,-19.2,25.96,299.1,80.4,49.61,-0.01,110,-20,130,484.3,434.7
"2021-10-27 15:09:00",22,73.35,-1.873,30.34,-19.73,25.93,299.1,75.22,50.06,-0.026,103.7,-21.6,125.3,484,434
"2021-10-27 15:10:00",23,78.11,-1.637,30.44,-19.66,25.9,299,79.74,50.1,-0.021,108.5,-21.29,129.8,483.9,433.8
