"TOA5","30751_CR1000x","CR1000X","30751","CR1000X.Std.05.01","CPU:4comp_campbell_noheater.CR1X","63880","Hourly"
"TIMESTAMP","RECORD","SR01Up_Avg","SR01Dn_Avg","IR01Up_Avg","IR01Dn_Avg","NR01TC_Avg","NR01TK_Avg","NetRs_Avg","NetRl_Avg","Albedo_Avg","UpTot_Avg","DnTot_Avg","NetTot_Avg","IR01UpCo_Avg","IR01DnCo_Avg"
"TS","RN","W/m2","W/m2","W/m2","W/m2","Deg C","K","W/m2","W/m2","W/m2","W/m2","W/m2","W/m2","W/m2","W/m2"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2021-10-12 16:00:00",0,215.5,28.5,56.92,24.99,20.77,293.9,187,31.93,0.894,272.4,53.49,218.9,480.1,448.2
"2021-10-12 17:00:00",1,214,-2.003,37.72,-4.428,23.92,297.1,216,42.15,-0.01,251.7,-6.431,258.1,479.4,437.2
"2021-10-12 18:00:00",2,118.1,-3.457,17.47,-14.97,24.45,297.6,121.6,32.44,-0.059,135.6,-18.43,154,462.2,429.8
"2021-10-12 19:00:00",3,3.744,-3.893,2.005,-8.04,21.96,295.1,7.637,10.05,-0.627,5.749,-11.94,17.69,432.1,422
"2021-10-12 20:00:00",4,-1.604,-2.208,-7.55,-1.981,19.86,293,0.604,-5.57,1.584,-9.15,-4.189,-4.966,410.4,416
"2021-10-12 21:00:00",5,-1.424,-0.278,-9.95,1.275,18.74,291.9,-1.146,-11.22,1.896,-11.37,0.997,-12.37,401.7,412.9
"2021-10-12 22:00:00",6,-1.483,0.39,-12.82,1.688,18.65,291.8,-1.873,-14.51,0.999,-14.31,2.077,-16.39,398.3,412.8
"2021-10-12 23:00:00",7,-1.713,0.54,-14.31,3.395,17.63,290.8,-2.253,-17.7,-0.349,-16.02,3.935,-19.96,391.1,408.8
"2021-10-13 00:00:00",8,-0.937,1.946,-16.54,4.084,17.69,290.8,-2.883,-20.62,12.13,-17.48,6.029,-23.51,389.1,409.8
"2021-10-13 01:00:00",9,-0.684,2.51,-17.27,5.39,17.08,290.2,-3.193,-22.66,1.98,-17.96,7.9,-25.86,385,407.7
"2021-10-13 02:00:00",10,-1.829,1.414,-18.95,4.535,16.98,290.1,-3.243,-23.48,-0.849,-20.77,5.949,-26.72,382.8,406.3
"2021-10-13 03:00:00",11,-0.391,3.23,-18.16,5.944,16.85,290,-3.621,-24.11,-1.927,-18.55,9.17,-27.73,382.9,407
"2021-10-13 04:00:00",12,-0.632,2.99,-18.11,5.93,16.69,289.8,-3.622,-24.04,0,-18.74,8.92,-27.66,382,406.1
"2021-10-13 05:00:00",13,-1.497,1.874,-19.25,4.762,16.75,289.9,-3.371,-24.02,-0.706,-20.75,6.636,-27.39,381.3,405.3
"2021-10-13 06:00:00",14,-0.314,3.418,-18.98,5.721,16.79,289.9,-3.732,-24.7,1.523,-19.3,9.14,-28.44,381.7,406.4
"2021-10-13 07:00:00",15,-0.296,3.442,-17.73,6.245,16.47,289.6,-3.738,-23.97,0.132,-18.02,9.69,-27.71,381.2,405.2
"2021-10-13 08:00:00",16,-1.348,1.788,-17.63,4.772,16.56,289.7,-3.136,-22.4,-1.535,-18.98,6.56,-25.54,381.8,404.2
"2021-10-13 09:00:00",17,1.652,3.525,-16.98,5.572,16.74,289.9,-1.873,-22.55,0.22,-15.33,9.1,-24.43,383.4,406
"2021-10-13 10:00:00",18,8.59,4.031,-14.66,5.35,16.68,289.8,4.561,-20.01,0.492,-6.064,9.38,-15.44,385.5,405.5
"2021-10-13 11:00:00",19,13.82,4.913,-12.39,3.816,18.21,291.4,8.91,-16.21,0.354,1.43,8.73,-7.3,396.2,412.4
"2021-10-13 12:00:00",20,10.88,1.225,-11.82,0.635,19.52,292.7,9.66,-12.45,0.105,-0.931,1.86,-2.791,404.2,416.6
"2021-10-13 13:00:00",21,19.86,1.269,-10.98,-0.054,19.26,292.4,18.59,-10.92,0.086,8.89,1.215,7.672,403.6,414.5
"2021-10-13 14:00:00",22,25.07,0.964,-4.409,0.921,18.42,291.6,24.11,-5.329,0.042,20.67,1.885,18.78,405.4,410.7
