"TOA5","CR1000_Banner2020","CR1000","26891","CR1000.Std.29","CPU:BannerthermoCoupleTablesGlobalModem_PY_20201107.cr1","43542","SoilArray2"
"TIMESTAMP","RECORD","Temp_C_2_Avg(1)","Temp_C_2_Avg(2)","Temp_C_2_Avg(3)","Temp_C_2_Avg(4)","Temp_C_2_Avg(5)","Temp_C_2_Avg(6)","Temp_C_2_Avg(7)","Temp_C_2_Avg(8)","Temp_C_2_Avg(9)","Temp_C_2_Avg(10)","Temp_C_2_Avg(11)","Temp_C_2_Avg(12)","Temp_C_2_Avg(13)","Temp_C_2_Avg(14)","Temp_C_2_Avg(15)","Temp_C_2_Avg(16)","Temp_C_2_Avg(17)","Temp_C_2_Avg(18)","Temp_C_2_Avg(19)","Temp_C_2_Avg(20)","Temp_C_2_Avg(21)","Temp_C_2_Avg(22)","Temp_C_2_Avg(23)","Temp_C_2_Avg(24)","Temp_C_2_Avg(25)"
"TS","RN","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2020-11-07 14:00:00",0,8.19,"NAN",8.22,"NAN",8.11,7.959,"NAN",7.991,8.09,8.11,"NAN",8.04,8.03,7.925,7.942,7.979,7.913,7.999,7.873,"NAN",7.904,"NAN",7.933,7.927,7.786
"2020-11-07 15:00:00",1,7.597,"NAN",7.569,"NAN",7.494,7.312,"NAN",7.375,7.479,7.507,"NAN",7.447,7.411,7.321,7.309,7.335,7.229,7.314,7.203,"NAN",7.246,"NAN",7.26,7.278,7.138
"2020-11-07 16:00:00",2,4.898,"NAN",4.835,"NAN",4.804,4.764,"NAN",4.784,4.844,4.818,"NAN",4.825,4.796,4.736,4.726,4.787,4.753,4.799,4.784,"NAN",4.848,"NAN",4.769,4.747,4.697
"2020-11-07 17:00:00",3,1.078,"NAN",0.792,"NAN",0.819,0.784,"NAN",0.774,0.776,0.806,"NAN",0.91,0.836,0.75,0.778,0.768,0.883,0.781,0.862,"NAN",0.91,"NAN",0.792,0.805,0.703
"2020-11-07 18:00:00",4,1.103,"NAN",0.996,"NAN",0.983,1.008,"NAN",0.99,1.008,1,"NAN",1.039,1.034,0.968,0.999,1.03,1.02,0.955,1.095,"NAN",1.064,"NAN",1.033,1.006,0.969
"2020-11-07 19:00:00",5,0.97,"NAN",0.846,"NAN",0.96,0.884,"NAN",0.937,1.015,0.93,"NAN",0.9,0.986,0.878,0.948,1.047,0.945,0.806,1.107,"NAN",0.924,"NAN",1.074,0.881,0.909
"2020-11-07 20:00:00",6,0.981,"NAN",0.901,"NAN",1.011,0.864,"NAN",1.016,1.032,0.943,"NAN",0.994,1.012,0.995,0.984,1.072,1.036,0.876,1.092,"NAN",1.081,"NAN",1.068,0.871,0.983
"2020-11-07 21:00:00",7,0.067,"NAN",0.012,"NAN",0.044,-0.074,"NAN",0.052,0.031,-0.005,"NAN",0.062,0.018,0.006,0.026,0.032,0.041,0.031,0.053,"NAN",0.074,"NAN",0.036,-0.072,0.006
"2020-11-07 22:00:00",8,-0.666,"NAN",-0.708,"NAN",-0.703,-0.742,"NAN",-0.705,-0.704,-0.714,"NAN",-0.687,-0.724,-0.725,-0.724,-0.724,-0.711,-0.719,-0.711,"NAN",-0.67,"NAN",-0.719,-0.786,-0.739
"2020-11-07 23:00:00",9,-0.995,"NAN",-1.032,"NAN",-1.025,-1.044,"NAN",-1.025,-1.022,-1.035,"NAN",-1.019,-1.055,-1.051,-1.047,-1.056,-1.05,-1.058,-1.049,"NAN",-1.013,"NAN",-1.058,-1.101,-1.071
"2020-11-08 00:00:00",10,-1.648,"NAN",-1.683,"NAN",-1.679,-1.691,"NAN",-1.674,-1.664,-1.682,"NAN",-1.664,-1.687,-1.692,-1.682,-1.708,-1.705,-1.705,-1.693,"NAN",-1.645,"NAN",-1.703,-1.723,-1.703
"2020-11-08 01:00:00",11,-2.36,"NAN",-2.396,"NAN",-2.4,-2.404,"NAN",-2.399,-2.398,-2.395,"NAN",-2.385,-2.416,-2.42,-2.419,-2.422,-2.418,-2.42,-2.406,"NAN",-2.357,"NAN",-2.416,-2.426,-2.422
"2020-11-08 02:00:00",12,-2.764,"NAN",-2.797,"NAN",-2.798,-2.803,"NAN",-2.801,-2.797,-2.798,"NAN",-2.792,-2.812,-2.816,-2.82,-2.825,-2.82,-2.818,-2.811,"NAN",-2.763,"NAN",-2.819,-2.831,-2.825
"2020-11-08 03:00:00",13,-4.103,"NAN",-4.193,"NAN",-4.189,-4.195,"NAN",-4.192,-4.179,-4.177,"NAN",-4.162,-4.192,-4.197,-4.19,-4.198,-4.197,-4.195,-4.181,"NAN",-4.109,"NAN",-4.184,-4.2,-4.195
"2020-11-08 04:00:00",14,-4.961,"NAN",-5.046,"NAN",-5.038,-5.043,"NAN",-5.04,-5.027,-5.023,"NAN",-5.006,-5.032,-5.034,-5.032,-5.034,-5.044,-5.033,-5.016,"NAN",-4.967,"NAN",-5.014,-5.033,-5.024
"2020-11-08 05:00:00",15,-5.908,"NAN",-5.99,"NAN",-5.977,-5.988,"NAN",-5.985,-5.971,-5.96,"NAN",-5.949,-5.971,-5.975,-5.973,-5.974,-5.98,-5.974,-5.958,"NAN",-5.906,"NAN",-5.955,-5.974,-5.963
"2020-11-08 06:00:00",16,-6.111,"NAN",-6.166,"NAN",-6.157,-6.166,"NAN",-6.16,-6.151,-6.146,"NAN",-6.139,-6.151,-6.153,-6.154,-6.154,-6.155,-6.157,-6.143,"NAN",-6.109,"NAN",-6.144,-6.157,-6.146
"2020-11-08 07:00:00",17,-6.201,"NAN",-6.237,"NAN",-6.224,-6.236,"NAN",-6.23,-6.219,-6.222,"NAN",-6.22,-6.223,-6.226,-6.223,-6.222,-6.23,-6.238,-6.224,"NAN",-6.206,"NAN",-6.233,-6.239,-6.219
"2020-11-08 08:00:00",18,-6.399,"NAN",-6.441,"NAN",-6.427,-6.443,"NAN",-6.441,-6.409,-6.409,"NAN",-6.427,-6.412,-6.434,-6.423,-6.415,-6.425,-6.448,-6.431,"NAN",-6.411,"NAN",-6.446,-6.445,-6.423
"2020-11-08 09:00:00",19,-5.549,"NAN",-5.542,"NAN",-5.583,-5.623,"NAN",-5.627,-5.537,-5.514,"NAN",-5.625,-5.541,-5.629,-5.613,-5.546,-5.624,-5.646,-5.672,"NAN",-5.699,"NAN",-5.7,-5.664,-5.729
"2020-11-08 10:00:00",20,-4.505,"NAN",-4.386,"NAN",-4.562,-4.598,"NAN",-4.588,-4.481,-4.407,"NAN",-4.607,-4.467,-4.625,-4.616,-4.483,-4.629,-4.609,-4.72,"NAN",-4.828,"NAN",-4.737,-4.685,-4.88
"2020-11-08 11:00:00",21,-4.22,"NAN",-4.118,"NAN",-4.318,-4.336,"NAN",-4.338,-4.219,-4.137,"NAN",-4.343,-4.22,-4.376,-4.387,-4.235,-4.406,-4.347,-4.507,"NAN",-4.652,"NAN",-4.516,-4.475,-4.746
"2020-11-08 12:00:00",22,-4.226,"NAN",-4.133,"NAN",-4.312,-4.339,"NAN",-4.339,-4.242,-4.143,"NAN",-4.337,-4.214,-4.367,-4.371,-4.24,-4.38,-4.32,-4.468,"NAN",-4.57,"NAN",-4.463,-4.417,-4.683
"2020-11-08 13:00:00",23,-3.627,"NAN",-3.505,"NAN",-3.73,-3.751,"NAN",-3.777,-3.665,-3.523,"NAN",-3.77,-3.605,-3.803,-3.791,-3.645,-3.79,-3.741,-3.922,"NAN",-4.031,"NAN",-3.907,-3.847,-4.208
"2020-11-08 14:00:00",24,-3.521,"NAN",-3.414,"NAN",-3.668,-3.678,"NAN",-3.709,-3.589,-3.462,"NAN",-3.708,-3.546,-3.762,-3.759,-3.588,-3.774,-3.689,-3.888,"NAN",-3.997,"NAN",-3.857,-3.811,-4.147
"2020-11-08 15:00:00",25,-2.655,"NAN",-2.494,"NAN",-2.78,-2.785,"NAN",-2.849,-2.709,-2.543,"NAN",-2.84,-2.63,-2.88,-2.883,-2.703,-2.919,-2.813,-3.046,"NAN",-3.207,"NAN",-3.048,-2.957,-3.396
"2020-11-08 16:00:00",26,-5.609,"NAN",-5.669,"NAN",-5.754,-5.758,"NAN",-5.78,-5.732,-5.666,"NAN",-5.721,-5.695,-5.757,-5.77,-5.717,-5.762,-5.728,-5.787,"NAN",-5.772,"NAN",-5.781,-5.776,-5.878
"2020-11-08 17:00:00",27,-6.732,"NAN",-6.836,"NAN",-6.868,-6.868,"NAN",-6.877,-6.842,-6.811,"NAN",-6.808,-6.819,-6.842,-6.837,-6.825,-6.843,-6.826,-6.826,"NAN",-6.756,"NAN",-6.814,-6.827,-6.859
"2020-11-08 18:00:00",28,-7.492,"NAN",-7.582,"NAN",-7.593,-7.595,"NAN",-7.602,-7.573,-7.564,"NAN",-7.545,-7.566,-7.562,-7.562,-7.559,-7.565,-7.558,-7.549,"NAN",-7.47,"NAN",-7.53,-7.549,-7.534
"2020-11-08 19:00:00",29,-7.496,"NAN",-7.551,"NAN",-7.552,-7.555,"NAN",-7.561,-7.545,-7.544,"NAN",-7.528,-7.537,-7.533,-7.531,-7.528,-7.531,-7.533,-7.523,"NAN",-7.468,"NAN",-7.508,-7.517,-7.503
"2020-11-08 20:00:00",30,-7.503,"NAN",-7.53,"NAN",-7.531,-7.535,"NAN",-7.54,-7.529,-7.529,"NAN",-7.524,-7.525,-7.525,-7.521,-7.519,-7.521,-7.528,-7.524,"NAN",-7.487,"NAN",-7.513,-7.514,-7.506
"2020-11-08 21:00:00",31,-7.374,"NAN",-7.393,"NAN",-7.394,-7.394,"NAN",-7.403,-7.389,-7.394,"NAN",-7.389,-7.389,-7.388,-7.386,-7.384,-7.389,-7.394,-7.393,"NAN",-7.374,"NAN",-7.389,-7.391,-7.378
"2020-11-08 22:00:00",32,-7.451,"NAN",-7.458,"NAN",-7.455,-7.457,"NAN",-7.464,-7.458,-7.459,"NAN",-7.459,-7.458,-7.458,-7.459,-7.453,-7.455,-7.459,-7.457,"NAN",-7.447,"NAN",-7.456,-7.453,-7.447
"2020-11-08 23:00:00",33,-7.504,"NAN",-7.516,"NAN",-7.522,-7.514,"NAN",-7.532,-7.506,-7.507,"NAN",-7.507,-7.508,-7.514,-7.507,-7.499,-7.51,-7.513,-7.513,"NAN",-7.499,"NAN",-7.511,-7.511,-7.489
"2020-11-09 00:00:00",34,-8.24,"NAN",-8.28,"NAN",-8.3,-8.28,"NAN",-8.31,-8.27,-8.27,"NAN",-8.26,-8.27,-8.27,-8.26,-8.26,-8.26,-8.26,-8.26,"NAN",-8.24,"NAN",-8.26,-8.26,-8.23
"2020-11-09 01:00:00",35,-10.7,"NAN",-10.86,"NAN",-10.82,-10.83,"NAN",-10.82,-10.76,-10.75,"NAN",-10.69,-10.74,-10.69,-10.68,-10.65,-10.66,-10.68,-10.64,"NAN",-10.49,"NAN",-10.57,-10.6,-10.52
"2020-11-09 02:00:00",36,-12.52,"NAN",-12.68,"NAN","NAN",-12.64,"NAN",-12.62,-12.55,-12.53,"NAN",-12.46,-12.49,-12.43,-12.47,-12.39,-12.39,-12.39,-12.35,"NAN",-12.14,"NAN",-12.22,-12.24,-12.15
"2020-11-09 03:00:00",37,-12.75,"NAN",-12.84,"NAN","NAN",-12.78,"NAN",-12.76,-12.71,-12.69,"NAN",-12.63,-12.63,-12.6,-12.61,-12.54,-12.54,-12.55,-12.53,"NAN",-12.36,"NAN",-12.4,-12.41,-12.33
"2020-11-09 04:00:00",38,-13.85,"NAN",-13.96,"NAN","NAN",-13.88,"NAN",-13.88,-13.83,-13.78,"NAN",-13.73,-13.71,-13.69,-13.71,-13.64,-13.64,-13.65,-13.63,"NAN",-13.48,"NAN",-13.52,-13.52,-13.41
"2020-11-09 05:00:00",39,-13.34,"NAN",-13.34,"NAN","NAN",-13.32,"NAN",-13.33,-13.31,-13.31,"NAN",-13.3,-13.25,-13.24,-13.24,-13.23,-13.23,-13.24,-13.23,"NAN",-13.14,"NAN",-13.14,-13.13,-13.11
"2020-11-09 06:00:00",40,-11.54,"NAN",-11.46,"NAN","NAN",-11.43,"NAN",-11.45,-11.44,-11.47,"NAN",-11.49,-11.39,-11.39,-11.39,-11.39,-11.4,-11.43,-11.45,"NAN",-11.43,"NAN",-11.38,-11.34,-11.31
"2020-11-09 07:00:00",41,-12.22,"NAN",-12.24,"NAN","NAN",-12.2,"NAN",-12.22,-12.18,-12.18,"NAN",-12.17,-12.14,-12.14,-12.13,-12.09,-12.09,-12.12,-12.12,"NAN",-12.02,"NAN",-12.05,-12.03,-11.97
"2020-11-09 08:00:00",42,-10.84,"NAN",-10.75,"NAN","NAN",-10.74,"NAN",-10.76,-10.75,-10.78,"NAN",-10.8,-10.73,-10.74,-10.69,-10.72,-10.75,-10.77,-10.79,"NAN",-10.8,"NAN",-10.76,-10.72,-10.72
"2020-11-09 09:00:00",43,-9.54,"NAN",-9.42,"NAN","NAN",-9.44,"NAN",-9.46,-9.42,-9.42,"NAN",-9.49,-9.42,-9.47,-9.35,-9.38,-9.44,-9.49,-9.55,"NAN",-9.6,"NAN",-9.53,-9.46,-9.48
"2020-11-09 10:00:00",44,-7.856,"NAN",-7.709,"NAN","NAN",-7.802,"NAN",-7.853,-7.713,-7.697,"NAN",-7.831,-7.696,-7.849,-7.689,-7.663,-7.776,-7.841,-7.992,"NAN",-8.05,"NAN",-7.918,-7.846,-7.886
"2020-11-09 11:00:00",45,-5.354,"NAN",-5.076,"NAN","NAN",-5.413,"NAN",-5.429,-5.278,-5.17,"NAN",-5.517,-5.272,-5.496,-5.477,-5.317,-5.506,-5.448,-5.703,"NAN",-5.821,"NAN",-5.628,-5.534,-5.815
"2020-11-09 12:00:00",46,-4.042,"NAN",-3.773,"NAN",-4.099,-4.104,"NAN",-4.18,-4.067,-3.899,"NAN",-4.273,-3.95,-4.212,-4.24,-4.049,-4.243,-4.166,-4.426,"NAN",-4.561,"NAN",-4.361,-4.242,-4.52
"2020-11-09 13:00:00",47,-4.775,"NAN",-4.594,"NAN",-4.866,-4.884,"NAN",-4.895,-4.754,-4.685,"NAN",-4.965,-4.787,-4.967,-4.951,-4.841,-5.008,-4.929,-5.116,"NAN",-5.28,"NAN",-5.093,"NAN",-5.299
"2020-11-09 14:00:00",48,-6.219,"NAN",-6.173,"NAN",-6.331,-6.331,"NAN",-6.37,-6.289,-6.22,"NAN",-6.364,-6.266,-6.385,-6.395,-6.315,-6.4,-6.34,-6.458,"NAN",-6.523,"NAN",-6.441,"NAN",-6.564
"2020-11-09 15:00:00",49,-7.031,"NAN",-7.073,"NAN",-7.166,-7.168,"NAN",-7.2,-7.14,-7.069,"NAN",-7.155,-7.104,-7.191,-7.193,-7.115,-7.189,-7.15,-7.23,"NAN",-7.222,"NAN",-7.208,-7.146,-7.3
"2020-11-09 16:00:00",50,-7.392,"NAN",-7.414,"NAN",-7.477,-7.485,"NAN",-7.497,-7.454,-7.421,"NAN",-7.474,-7.446,-7.491,-7.492,-7.45,-7.494,-7.471,-7.514,"NAN",-7.496,"NAN",-7.496,-7.498,-7.554
"2020-11-09 17:00:00",51,-7.942,"NAN",-7.98,"NAN",-8.01,-8.01,"NAN",-8.02,-7.999,-7.977,"NAN",-8,-7.987,-8.01,-8.01,-7.988,-8,-7.997,-8.02,"NAN",-7.988,"NAN",-8,-8,-8.02
"2020-11-09 18:00:00",52,-8.61,"NAN",-8.66,"NAN",-8.67,-8.67,"NAN",-8.67,-8.66,-8.65,"NAN",-8.63,-8.64,-8.64,-8.64,-8.63,-8.63,-8.64,-8.63,"NAN",-8.58,"NAN",-8.61,-8.63,-8.61
"2020-11-09 19:00:00",53,-8.73,"NAN",-8.77,"NAN",-8.77,-8.77,"NAN",-8.78,-8.77,-8.77,"NAN",-8.76,-8.76,-8.76,-8.76,-8.76,-8.75,-8.76,-8.75,"NAN",-8.71,"NAN",-8.74,-8.75,-8.73
"2020-11-09 20:00:00",54,-8.74,"NAN",-8.76,"NAN",-8.76,-8.77,"NAN",-8.77,-8.76,-8.76,"NAN",-8.75,-8.76,-8.76,-8.76,-8.75,-8.75,-8.76,-8.76,"NAN",-8.72,"NAN",-8.74,-8.74,-8.73
"2020-11-09 21:00:00",55,-8.62,"NAN",-8.62,"NAN",-8.62,-8.62,"NAN",-8.63,-8.62,-8.63,"NAN",-8.63,-8.62,-8.63,-8.63,-8.63,-8.63,-8.64,-8.64,"NAN",-8.62,"NAN",-8.63,-8.63,-8.63
"2020-11-09 22:00:00",56,-9.73,"NAN",-9.79,"NAN",-9.77,-9.77,"NAN",-9.78,-9.75,-9.75,"NAN",-9.74,-9.75,-9.74,-9.74,-9.72,-9.72,-9.74,-9.73,"NAN",-9.66,"NAN",-9.7,-9.7,-9.66
"2020-11-09 23:00:00",57,-12.21,"NAN",-12.36,"NAN",-12.35,-12.33,"NAN",-12.34,-12.28,-12.27,"NAN",-12.22,-12.27,-12.2,-12.24,-12.19,-12.19,-12.17,-12.15,"NAN",-11.96,"NAN",-12.05,-12.09,-12.01
"2020-11-10 00:00:00",58,-10.68,"NAN",-10.68,"NAN",-10.67,-10.67,"NAN",-10.68,-10.67,-10.67,"NAN",-10.66,-10.63,-10.63,-10.64,-10.62,-10.62,-10.63,-10.63,"NAN",-10.58,"NAN",-10.58,-10.58,-10.56
"2020-11-10 01:00:00",59,-9.95,"NAN",-9.9,"NAN",-9.89,-9.89,"NAN",-9.9,-9.9,-9.92,"NAN",-9.94,-9.89,-9.9,-9.9,-9.91,-9.91,-9.93,-9.94,"NAN",-9.95,"NAN",-9.93,-9.91,-9.9
"2020-11-10 02:00:00",60,-10.43,"NAN",-10.44,"NAN",-10.43,-10.43,"NAN",-10.44,-10.44,-10.44,"NAN",-10.44,-10.43,-10.44,-10.43,-10.43,-10.42,-10.45,-10.45,"NAN",-10.42,"NAN",-10.45,-10.43,-10.42
"2020-11-10 03:00:00",61,-10.2,"NAN",-10.21,"NAN",-10.2,-10.21,"NAN",-10.22,-10.22,-10.22,"NAN",-10.21,-10.2,-10.22,-10.19,-10.21,-10.2,-10.23,-10.23,"NAN",-10.22,"NAN",-10.24,-10.21,-10.21
"2020-11-10 04:00:00",62,-10.12,"NAN",-10.12,"NAN",-10.11,-10.12,"NAN",-10.13,-10.12,-10.13,"NAN",-10.12,-10.11,-10.13,-10.1,-10.12,-10.11,-10.14,-10.14,"NAN",-10.14,"NAN",-10.15,-10.13,-10.1
"2020-11-10 05:00:00",63,-9.98,"NAN",-9.98,"NAN",-9.97,-9.99,"NAN",-9.99,-9.98,-9.99,"NAN",-9.99,-9.98,-9.99,-9.97,-9.98,-9.98,-10,-10,"NAN",-9.99,"NAN",-10,-9.99,-9.97
"2020-11-10 06:00:00",64,-10,"NAN",-10.01,"NAN",-10,-10.01,"NAN",-10.02,-10.01,-10.02,"NAN",-10.01,-10.01,-10.01,-10.01,-10.01,-10,-10.02,-10.03,"NAN",-10.01,"NAN",-10.02,-10.02,-10
"2020-11-10 07:00:00",65,-9.83,"NAN",-9.82,"NAN",-9.82,-9.83,"NAN",-9.84,-9.83,-9.84,"NAN",-9.84,-9.83,-9.83,-9.84,-9.83,-9.84,-9.84,-9.85,"NAN",-9.84,"NAN",-9.84,-9.84,-9.83
"2020-11-10 08:00:00",66,-9.62,"NAN",-9.61,"NAN",-9.62,-9.63,"NAN",-9.63,-9.62,-9.62,"NAN",-9.63,-9.61,-9.63,-9.63,-9.62,-9.63,-9.64,-9.65,"NAN",-9.65,"NAN",-9.64,-9.64,-9.64
"2020-11-10 09:00:00",67,-8.82,"NAN",-8.77,"NAN",-8.81,-8.82,"NAN",-8.84,-8.78,-8.78,"NAN",-8.86,-8.8,-8.85,-8.85,-8.8,-8.86,-8.86,-8.91,"NAN",-8.94,"NAN",-8.9,"NAN",-8.93
"2020-11-10 10:00:00",68,-7.64,"NAN",-7.536,"NAN",-7.636,-7.636,"NAN",-7.66,-7.597,-7.577,"NAN",-7.712,-7.588,-7.683,-7.682,-7.617,-7.712,-7.686,-7.773,"NAN",-7.846,"NAN",-7.77,"NAN",-7.805
"2020-11-10 11:00:00",69,-6.191,"NAN",-6.011,"NAN",-6.189,-6.213,"NAN",-6.223,-6.094,-6.022,"NAN",-6.25,-6.071,-6.252,-6.241,-6.093,-6.292,-6.204,-6.389,"NAN",-6.539,"NAN",-6.404,"NAN",-6.517
"2020-11-10 12:00:00",70,-6.274,"NAN",-6.18,"NAN",-6.341,-6.354,"NAN",-6.392,-6.287,-6.205,"NAN",-6.405,-6.278,-6.418,-6.423,-6.283,-6.461,-6.394,-6.544,"NAN",-6.676,"NAN",-6.567,"NAN",-6.686
"2020-11-10 13:00:00",71,-5.916,"NAN",-5.831,"NAN",-6.013,-6.015,"NAN",-6.063,-5.958,-5.849,"NAN",-6.051,-5.916,-6.092,-6.105,-5.946,-6.105,-6.038,-6.206,"NAN",-6.317,"NAN",-6.216,-6.147,-6.341
"2020-11-10 14:00:00",72,-4.515,"NAN",-4.387,"NAN",-4.59,-4.591,"NAN",-4.652,-4.549,-4.424,"NAN",-4.68,-4.503,-4.696,-4.708,-4.549,-4.734,-4.652,-4.858,"NAN",-5.001,"NAN",-4.842,-4.761,-4.98
"2020-11-10 15:00:00",73,-6.246,"NAN",-6.216,"NAN",-6.357,-6.356,"NAN",-6.374,-6.308,-6.231,"NAN",-6.36,-6.294,-6.393,-6.385,-6.306,-6.396,-6.351,-6.445,"NAN",-6.482,"NAN",-6.439,-6.41,-6.541
"2020-11-10 16:00:00",74,-6.424,"NAN",-6.398,"NAN",-6.528,-6.539,"NAN",-6.554,-6.481,-6.421,"NAN",-6.55,-6.48,-6.577,-6.569,-6.498,-6.587,-6.547,-6.636,"NAN",-6.668,"NAN",-6.622,-6.596,-6.723
"2020-11-10 17:00:00",75,-7.387,"NAN",-7.436,"NAN",-7.466,-7.467,"NAN",-7.476,-7.45,-7.425,"NAN",-7.441,-7.431,-7.456,-7.453,-7.43,-7.454,-7.443,-7.456,"NAN",-7.421,"NAN",-7.449,-7.45,-7.47
"2020-11-10 18:00:00",76,-7.534,"NAN",-7.576,"NAN",-7.58,-7.58,"NAN",-7.586,-7.57,-7.564,"NAN",-7.553,-7.555,-7.56,-7.558,-7.553,-7.558,-7.562,-7.551,"NAN",-7.512,"NAN",-7.544,-7.549,-7.538
"2020-11-10 19:00:00",77,-7.286,"NAN",-7.299,"NAN",-7.3,-7.304,"NAN",-7.305,-7.29,-7.296,"NAN",-7.291,-7.287,-7.288,-7.284,-7.283,-7.292,-7.295,-7.291,"NAN",-7.269,"NAN",-7.285,-7.282,-7.27
