"TOA5","CR1000_Banner2020","CR1000","26891","CR1000.Std.29","CPU:BannerthermoCoupleTablesGlobalModem_PY_20201107.cr1","43542","SoilArray1"
"TIMESTAMP","RECORD","Temp_C_Avg(1)","Temp_C_Avg(2)","Temp_C_Avg(3)","Temp_C_Avg(4)","Temp_C_Avg(5)","Temp_C_Avg(6)","Temp_C_Avg(7)","Temp_C_Avg(8)","Temp_C_Avg(9)","Temp_C_Avg(10)","Temp_C_Avg(11)","Temp_C_Avg(12)","Temp_C_Avg(13)","Temp_C_Avg(14)","Temp_C_Avg(15)","Temp_C_Avg(16)","Temp_C_Avg(17)","Temp_C_Avg(18)","Temp_C_Avg(19)","Temp_C_Avg(20)","Temp_C_Avg(21)","Temp_C_Avg(22)","Temp_C_Avg(23)","Temp_C_Avg(24)","Temp_C_Avg(25)","Temp_C_Avg(26)","Temp_C_Avg(27)","Temp_C_Avg(28)"
"TS","RN","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2020-11-07 14:00:00",0,0.013,"NAN",6.919,7.207,7.536,7.628,7.542,7.524,7.611,7.634,7.68,7.953,7.726,7.637,7.812,7.697,7.683,7.674,7.801,7.732,"NAN",7.853,"NAN",7.778,8.03,7.861,7.939,7.784
"2020-11-07 15:00:00",1,-0.003,"NAN",6.055,6.4,6.79,6.882,6.757,6.743,6.852,6.887,6.929,7.184,6.979,6.919,7.139,7.048,6.997,6.97,7.087,7.061,"NAN",7.236,"NAN",7.225,7.417,7.267,7.416,7.208
"2020-11-07 16:00:00",2,-0.541,"NAN",3.814,4.133,4.362,4.477,4.436,4.474,4.568,4.597,"NAN",4.751,4.666,4.611,4.696,4.655,4.669,4.656,4.712,4.723,"NAN",4.804,"NAN",4.77,4.875,"NAN",4.835,4.776
"2020-11-07 17:00:00",3,-0.759,"NAN",0.416,0.507,0.61,0.598,0.56,0.609,0.716,0.77,"NAN",0.902,0.742,0.629,0.596,0.725,0.724,0.717,0.805,0.889,"NAN",0.832,"NAN",0.822,0.773,"NAN",0.846,0.812
"2020-11-07 18:00:00",4,-0.23,"NAN",0.438,0.638,0.718,0.786,0.817,0.834,0.883,0.915,"NAN",0.966,0.923,0.888,0.885,0.913,0.919,0.919,0.944,0.973,"NAN",0.977,"NAN",1.012,0.953,"NAN",0.967,0.955
"2020-11-07 19:00:00",5,-0.049,"NAN",0.263,0.437,0.513,0.571,0.606,0.644,0.667,0.724,"NAN",0.752,0.733,0.701,0.727,0.743,0.727,0.746,0.795,0.787,"NAN",0.787,"NAN",0.868,0.873,"NAN",0.884,0.791
"2020-11-07 20:00:00",6,0.073,"NAN",0.486,0.574,0.61,0.648,0.67,0.72,0.722,0.765,"NAN",0.796,0.784,0.729,0.764,0.789,0.785,0.78,0.869,0.78,"NAN",0.789,"NAN",0.925,0.981,"NAN",0.942,0.851
"2020-11-07 21:00:00",7,-0.104,"NAN",-0.191,-0.167,-0.156,-0.15,-0.156,-0.078,-0.12,-0.091,"NAN",-0.031,-0.076,-0.132,-0.125,-0.093,-0.082,-0.069,-0.049,-0.101,"NAN",-0.072,"NAN",-0.029,0.008,"NAN",-0.005,-0.021
"2020-11-07 22:00:00",8,-0.16,"NAN",-0.686,-0.729,-0.731,-0.767,-0.752,-0.712,-0.766,-0.724,"NAN",-0.689,-0.73,-0.738,-0.764,-0.746,-0.753,-0.738,-0.727,-0.732,"NAN",-0.729,"NAN",-0.734,-0.72,"NAN",-0.732,-0.73
"2020-11-07 23:00:00",9,-0.081,"NAN",-0.982,-1.042,-1.044,-1.088,-1.079,-1.057,-1.094,-1.06,"NAN",-1.036,-1.084,-1.086,-1.106,-1.093,-1.101,-1.093,-1.085,-1.087,"NAN",-1.09,"NAN",-1.098,-1.093,-1.101,-1.098,-1.094
"2020-11-08 00:00:00",10,-0.176,"NAN",-1.615,-1.672,-1.698,-1.711,-1.71,-1.697,-1.711,-1.69,"NAN",-1.675,-1.716,-1.746,-1.742,-1.727,-1.732,-1.743,-1.719,-1.719,"NAN",-1.733,"NAN",-1.758,-1.727,-1.724,-1.724,-1.727
"2020-11-08 01:00:00",11,-0.251,"NAN",-2.223,-2.315,-2.341,-2.371,-2.38,-2.383,-2.384,-2.38,"NAN",-2.361,-2.391,-2.413,-2.421,-2.416,-2.414,-2.416,-2.41,-2.399,"NAN",-2.408,"NAN",-2.424,-2.416,"NAN",-2.419,-2.418
"2020-11-08 02:00:00",12,-0.218,"NAN",-2.584,-2.697,-2.724,-2.757,-2.765,-2.77,-2.78,-2.775,"NAN",-2.763,-2.792,-2.811,-2.817,-2.811,-2.811,-2.814,-2.802,-2.8,"NAN",-2.806,"NAN",-2.825,-2.814,"NAN",-2.817,-2.817
"2020-11-08 03:00:00",13,-0.454,"NAN",-2.79,-4.13,-4.14,-4.16,-4.159,-4.161,-4.16,-4.136,"NAN",-4.106,-4.143,-4.171,-4.181,-4.177,-4.169,-4.172,-4.154,-4.148,"NAN",-4.146,"NAN",-4.167,-4.147,"NAN",-4.151,-4.158
"2020-11-08 04:00:00",14,-0.446,"NAN",-2.611,-4.94,-4.955,-4.978,-4.98,-4.973,-4.981,-4.956,"NAN",-4.927,-4.964,-4.986,-4.996,-4.994,-4.986,-4.992,-4.972,-4.965,"NAN",-4.956,"NAN",-4.989,-4.966,"NAN",-4.972,-4.974
"2020-11-08 05:00:00",15,-0.467,"NAN",-2.535,-5.66,-5.886,-5.916,-5.919,-5.913,-5.922,-5.897,"NAN",-5.868,-5.902,-5.926,-5.937,-5.935,-5.926,-5.922,-5.908,-5.904,"NAN",-5.895,"NAN",-5.919,-5.905,"NAN",-5.909,-5.909
"2020-11-08 06:00:00",16,-0.316,"NAN",-2.254,-5.404,-6.077,-6.109,-6.11,-6.111,-6.117,-6.098,"NAN",-6.083,-6.103,-6.123,-6.13,-6.127,-6.124,-6.121,-6.112,-6.108,"NAN",-6.103,"NAN",-6.117,-6.107,"NAN",-6.111,-6.113
"2020-11-08 07:00:00",17,-0.202,"NAN",-2.009,-4.987,-6.162,-6.196,-6.193,-6.188,-6.202,-6.181,"NAN",-6.174,-6.195,-6.208,-6.21,-6.203,-6.205,-6.208,-6.198,-6.202,"NAN",-6.204,"NAN",-6.209,-6.196,"NAN",-6.2,-6.205
"2020-11-08 08:00:00",18,-0.164,"NAN",-1.914,-4.924,-6.421,-6.445,-6.428,-6.423,-6.431,-6.404,-6.431,-6.374,-6.417,-6.434,-6.425,-6.426,-6.415,-6.429,-6.417,-6.42,"NAN",-6.417,"NAN",-6.423,-6.391,"NAN",-6.396,-6.42
"2020-11-08 09:00:00",19,0.199,"NAN",-1.41,-4.11,-5.406,-5.559,-5.582,-5.596,-5.611,-5.586,-5.627,-5.442,-5.596,-5.597,-5.6,-5.61,-5.613,-5.627,-5.613,-5.633,"NAN",-5.593,"NAN",-5.64,-5.482,"NAN",-5.53,-5.642
"2020-11-08 10:00:00",20,0.542,"NAN",-0.758,-2.983,-4.109,-4.395,-4.495,-4.571,-4.55,-4.56,-4.58,-4.258,-4.549,-4.562,-4.552,-4.589,-4.611,-4.624,-4.588,-4.641,"NAN",-4.535,"NAN",-4.646,-4.324,"NAN",-4.459,-4.65
"2020-11-08 11:00:00",21,0.367,"NAN",-0.616,-2.337,-3.604,-3.983,-4.156,-4.255,-4.197,-4.246,-4.241,-3.889,-4.24,-4.275,-4.253,-4.29,-4.345,-4.337,-4.307,-4.357,"NAN",-4.224,"NAN",-4.357,-4.048,"NAN",-4.152,-4.384
"2020-11-08 12:00:00",22,0.262,"NAN",-0.608,-2.174,-3.576,-3.966,-4.182,-4.297,-4.216,-4.258,"NAN",-3.964,-4.261,-4.295,-4.283,-4.326,-4.345,-4.347,-4.317,-4.356,"NAN",-4.249,"NAN",-4.362,-4.094,"NAN",-4.187,-4.376
"2020-11-08 13:00:00",23,0.406,"NAN",-0.32,-1.564,-2.243,-3.331,-3.595,-3.776,-3.636,-3.711,"NAN",-3.315,-3.686,-3.755,-3.697,-3.772,-3.778,-3.812,-3.768,-3.817,"NAN",-3.687,"NAN",-3.82,-3.466,"NAN",-3.601,-3.839
"2020-11-08 14:00:00",24,0.331,"NAN",-0.262,-1.306,-2.137,-3.247,-3.527,-3.695,-3.562,-3.629,"NAN",-3.219,-3.582,-3.674,-3.615,-3.688,-3.7,-3.726,-3.677,-3.728,"NAN",-3.571,"NAN",-3.705,-3.336,"NAN",-3.484,-3.745
"2020-11-08 15:00:00",25,0.537,"NAN",0.063,-0.718,-0.905,-2.249,-2.603,-2.765,-2.608,-2.73,"NAN",-2.186,-2.658,-2.73,-2.667,-2.737,-2.799,-2.805,-2.757,-2.81,"NAN",-2.633,"NAN",-2.795,-2.388,"NAN",-2.551,-2.859
"2020-11-08 16:00:00",26,-0.562,"NAN",-1.244,-2.43,-4.702,-5.498,-5.607,-5.643,-5.584,-5.606,"NAN",-5.418,-5.58,-5.63,-5.627,-5.636,-5.631,-5.641,-5.619,-5.609,"NAN",-5.552,"NAN",-5.623,-5.499,"NAN",-5.548,-5.629
"2020-11-08 17:00:00",27,-0.678,"NAN",-1.669,-3.27,-5.463,-6.659,-6.703,-6.711,-6.68,-6.679,-6.464,-6.584,-6.682,-6.716,-6.722,-6.718,-6.702,-6.714,-6.705,-6.679,"NAN",-6.657,"NAN",-6.707,-6.646,"NAN",-6.66,-6.692
"2020-11-08 18:00:00",28,-0.571,"NAN",-1.678,-3.384,-5.889,-7.587,-7.536,-7.524,-7.504,-7.473,"NAN",-7.428,-7.482,-7.496,-7.495,-7.489,-7.467,-7.469,-7.458,-7.437,"NAN",-7.432,"NAN",-7.454,-7.431,"NAN",-7.442,-7.445
"2020-11-08 19:00:00",29,-0.277,"NAN",-1.433,-3.238,-5.819,-7.586,-7.545,-7.524,-7.514,-7.488,"NAN",-7.466,-7.496,-7.502,-7.497,-7.494,-7.48,-7.484,-7.48,-7.467,"NAN",-7.459,"NAN",-7.473,"NAN","NAN",-7.466,-7.469
"2020-11-08 20:00:00",30,-0.146,"NAN",-1.331,-3.188,-5.721,-7.512,-7.503,-7.498,-7.498,-7.487,"NAN",-7.478,-7.499,-7.502,-7.497,-7.497,-7.492,-7.497,-7.494,-7.483,"NAN",-7.483,"NAN",-7.495,"NAN","NAN",-7.489,-7.492
"2020-11-08 21:00:00",31,-0.052,"NAN",-1.247,-3.098,-5.604,-7.383,-7.375,-7.369,-7.37,-7.36,"NAN",-7.361,-7.385,-7.379,-7.368,-7.368,-7.364,-7.371,-7.371,-7.366,"NAN",-7.37,"NAN",-7.383,"NAN","NAN",-7.369,-7.375
"2020-11-08 22:00:00",32,-0.051,"NAN",-1.256,-3.109,-5.618,-7.434,-7.44,-7.441,-7.443,-7.437,"NAN",-7.437,-7.451,-7.447,-7.444,-7.444,-7.442,-7.446,-7.446,-7.444,"NAN",-7.445,"NAN",-7.453,"NAN","NAN",-7.447,-7.45
"2020-11-08 23:00:00",33,-0.057,"NAN",-1.27,-3.131,-5.676,-7.572,-7.552,-7.539,-7.531,-7.519,"NAN",-7.512,-7.536,-7.529,-7.517,-7.515,-7.509,-7.518,-7.511,-7.511,"NAN",-7.51,"NAN",-7.525,"NAN",-7.504,-7.506,-7.509
"2020-11-09 00:00:00",34,-0.176,"NAN",-1.429,-3.349,-6.27,-8.42,-8.36,-8.32,-8.3,-8.27,"NAN",-8.25,-8.3,-8.29,-8.28,-8.27,-8.26,-8.27,-8.26,-8.25,"NAN",-8.24,"NAN",-8.27,"NAN",-8.25,-8.25,-8.25
"2020-11-09 01:00:00",35,-0.528,"NAN",-1.973,-4.351,-9.45,-12.81,-12.12,-11.62,-11.36,-11.15,"NAN",-11.01,-11.04,-11.05,-11,-11,-10.87,-10.91,-10.87,-10.83,"NAN",-10.76,"NAN",-10.77,"NAN",-10.7,-10.7,-10.71
"2020-11-09 02:00:00",36,-0.434,"NAN",-2.227,-5.5,-12.31,-15.91,-14.92,-14.17,-13.75,-13.44,-13.34,-13.21,-13.19,-13.15,-13.08,-13.04,-12.86,-12.89,-12.82,-12.77,"NAN",-12.64,"NAN",-12.62,"NAN","NAN",-12.49,"NAN"
"2020-11-09 03:00:00",37,-0.118,"NAN",-2.243,-6.118,-12.81,-15.33,-14.43,-13.92,-13.65,-13.43,-13.36,-13.28,-13.25,-13.23,-13.15,-13.13,-13,-13.05,-12.98,-12.94,"NAN",-12.88,"NAN",-12.85,"NAN",-12.77,-12.74,"NAN"
"2020-11-09 04:00:00",38,-0.067,"NAN",-2.436,-6.623,-14.11,-17.28,-15.96,-15.22,-14.85,-14.58,-14.51,-14.42,-14.41,-14.38,-14.31,-14.28,-14.15,-14.18,-14.13,-14.09,"NAN",-14,"NAN",-13.98,"NAN","NAN",-13.86,"NAN"
"2020-11-09 05:00:00",39,0.178,"NAN",-2.327,-6.699,-12.45,-14.47,-14.11,-13.88,-13.75,-13.65,-13.62,-13.58,-13.54,-13.52,-13.49,-13.47,-13.44,-13.44,-13.42,-13.4,"NAN",-13.34,"NAN",-13.33,-13.31,"NAN",-13.28,"NAN"
"2020-11-09 06:00:00",40,0.528,"NAN",-1.838,-5.618,-10,-12.09,-11.92,-11.81,-11.76,-11.7,-11.69,-11.67,-11.61,-11.56,-11.53,-11.51,-11.5,-11.51,-11.5,-11.52,"NAN",-11.49,"NAN",-11.47,"NAN","NAN",-11.43,"NAN"
"2020-11-09 07:00:00",41,0.275,"NAN",-2.028,-5.919,-12.22,-14.14,-13.61,-13.25,-13.03,-12.82,-12.77,-12.7,-12.67,-12.62,-12.57,-12.54,-12.45,-12.49,-12.44,-12.42,"NAN",-12.35,"NAN",-12.32,"NAN",-12.26,-12.25,"NAN"
"2020-11-09 08:00:00",42,0.522,"NAN",-1.747,-5.428,-9.33,-10.73,-10.76,-10.76,-10.78,-10.78,-10.8,-10.8,-10.77,-10.74,-10.74,-10.74,-10.75,-10.76,-10.76,-10.77,"NAN",-10.75,"NAN",-10.74,"NAN",-10.74,-10.74,"NAN"
"2020-11-09 09:00:00",43,0.731,"NAN",-1.272,-4.325,-7.357,-9.35,-9.44,-9.47,-9.48,-9.47,"NAN",-9.42,-9.47,-9.44,-9.44,-9.42,-9.47,-9.48,-9.45,-9.48,"NAN",-9.44,"NAN",-9.45,"NAN",-9.42,-9.43,"NAN"
"2020-11-09 10:00:00",44,1.065,"NAN",-0.61,-3.105,-5.265,-7.603,-7.833,-7.908,-7.889,-7.84,-4.459,-7.663,-7.898,-7.879,-7.852,-7.831,-7.864,-7.921,-7.854,-7.882,"NAN",-7.8,"NAN",-7.847,"NAN",-7.75,-7.73,"NAN"
"2020-11-09 11:00:00",45,1.617,"NAN",0.347,-1.399,-1.944,-4.78,-5.168,-5.427,-5.303,-5.31,"NAN",-4.902,-5.292,-5.368,-5.272,-5.354,-5.368,-5.45,-5.372,-5.472,"NAN",-5.282,"NAN",-5.43,"NAN",-5.242,-5.219,"NAN"
