"TOA5","CR1000_Banner2020","CR1000","26891","CR1000.Std.29","CPU:BannerthermoCoupleTablesGlobalModem_PY_20201107.cr1","43542","Table2"
"TIMESTAMP","RECORD","BattV_Min"
"TS","RN","Volts"
"","","Min"
"2020-11-08 00:00:00",0,12.69
"2020-11-09 00:00:00",1,12.59
"2020-11-10 00:00:00",2,12.54
"2020-11-11 00:00:00",3,12.53
"2020-11-12 00:00:00",4,12.48
"2020-11-13 00:00:00",5,12.43
"2020-11-14 00:00:00",6,12.43
"2020-11-15 00:00:00",7,12.41
"2020-11-16 00:00:00",8,12.4
"2020-11-17 00:00:00",9,12.39
"2020-11-18 00:00:00",10,12.38
"2020-11-19 00:00:00",11,12.36
"2020-11-20 00:00:00",12,12.33
"2020-11-21 00:00:00",13,12.3
"2020-11-22 00:00:00",14,12.28
"2020-11-23 00:00:00",15,12.25
"2020-11-24 00:00:00",16,12.23
"2020-11-25 00:00:00",17,12.23
"2020-11-26 00:00:00",18,12.19
"2020-11-27 00:00:00",19,12.16
"2020-11-28 00:00:00",20,12.14
"2020-11-29 00:00:00",21,12.11
"2020-11-30 00:00:00",22,12.09
"2020-12-01 00:00:00",23,12.06
"2020-12-02 00:00:00",24,12.03
"2020-12-03 00:00:00",25,12.01
"2020-12-04 00:00:00",26,11.97
"2020-12-05 00:00:00",27,11.94
"2020-12-06 00:00:00",28,11.9
"2020-12-07 00:00:00",29,11.87
"2020-12-08 00:00:00",30,11.83
"2020-12-09 00:00:00",31,11.81
"2020-12-10 00:00:00",32,11.8
"2020-12-11 00:00:00",33,11.76
"2020-12-12 00:00:00",34,11.73
"2020-12-13 00:00:00",35,11.7
"2020-12-14 00:00:00",36,11.65
"2020-12-15 00:00:00",37,11.62
"2020-12-16 00:00:00",38,11.54
"2020-12-17 00:00:00",39,11.52
"2020-12-18 00:00:00",40,11.44
"2020-12-19 00:00:00",41,11.44
"2020-12-20 00:00:00",42,11.38
"2020-12-21 00:00:00",43,11.3
"2020-12-22 00:00:00",44,11.28
"2020-12-23 00:00:00",45,11.21
"2020-12-24 00:00:00",46,11.11
"2020-12-25 00:00:00",47,10.84
"2020-12-26 00:00:00",48,10.53
"2020-12-27 00:00:00",49,10.3
"2020-12-28 00:00:00",50,10.08
"2020-12-29 00:00:00",51,9.87
"2020-12-30 00:00:00",52,9.67
"2020-12-31 00:00:00",53,9.85
"2021-01-01 00:00:00",54,9.71
