"TOA5","CR1000_Banner2020","CR1000","26891","CR1000.Std.29","CPU:BannerthermoCoupleTablesGlobalModem_PY_20201107.cr1","43542","hourly"
"TIMESTAMP","RECORD","BattV","soiltemp","boxtemp","Temp_C","Temp_C_2"
"TS","RN","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Smp","Smp","Smp","Smp","Smp"
"2020-11-07 14:00:00",0,13.18,9.83,7.894,0.067,8.16
"2020-11-07 15:00:00",1,13.24,9.84,7.185,-0.136,6.675
"2020-11-07 16:00:00",2,12.91,9.83,4.917,-0.607,3.361
"2020-11-07 17:00:00",3,12.85,9.87,1.856,-0.489,0.895
"2020-11-07 18:00:00",4,12.81,9.9,1.324,-0.102,1.158
"2020-11-07 19:00:00",5,12.79,9.91,0.899,-0.003,0.969
"2020-11-07 20:00:00",6,12.76,9.92,0.734,0.042,0.717
"2020-11-07 21:00:00",7,12.74,9.93,-0.032,-0.154,-0.286
"2020-11-07 22:00:00",8,12.72,9.94,-0.537,-0.099,-0.695
"2020-11-07 23:00:00",9,12.71,9.95,-0.965,-0.123,-1.281
"2020-11-08 00:00:00",10,12.7,9.94,-1.511,-0.203,-2.004
"2020-11-08 01:00:00",11,12.69,9.94,-2.098,-0.227,-2.6
"2020-11-08 02:00:00",12,12.68,9.94,-2.579,-0.259,-3.214
"2020-11-08 03:00:00",13,12.68,9.93,-3.813,-0.538,-4.724
"2020-11-08 04:00:00",14,12.67,9.94,-4.589,-0.449,-5.405
"2020-11-08 05:00:00",15,12.65,9.94,-5.443,-0.417,-6.118
"2020-11-08 06:00:00",16,12.66,9.93,-5.786,-0.248,-6.142
"2020-11-08 07:00:00",17,12.65,9.93,-6.009,-0.196,-6.338
"2020-11-08 08:00:00",18,12.65,9.93,-6.171,-0.058,-6.225
"2020-11-08 09:00:00",19,12.65,9.93,-5.462,0.379,-4.86
"2020-11-08 10:00:00",20,12.66,9.95,-4.49,0.613,-4.348
"2020-11-08 11:00:00",21,12.65,9.95,-4.3,0.179,-4.601
"2020-11-08 12:00:00",22,12.66,9.95,-3.991,0.169,-4.319
"2020-11-08 13:00:00",23,12.69,9.95,-3.248,0.416,-3.328
"2020-11-08 14:00:00",24,12.66,9.96,-3.14,0.305,-3.776
"2020-11-08 15:00:00",25,12.68,9.97,-2.411,0.266,-3.488
"2020-11-08 16:00:00",26,12.59,9.98,-4.99,-0.908,-7.06
"2020-11-08 17:00:00",27,12.62,9.96,-5.928,-0.59,-7.085
"2020-11-08 18:00:00",28,12.63,9.95,-6.867,-0.41,-7.375
"2020-11-08 19:00:00",29,12.63,9.95,-7.267,-0.243,-7.659
"2020-11-08 20:00:00",30,12.62,9.96,-7.347,-0.093,-7.383
"2020-11-08 21:00:00",31,12.63,9.96,-7.336,-0.012,-7.336
"2020-11-08 22:00:00",32,12.63,9.96,-7.429,-0.069,-7.546
"2020-11-08 23:00:00",33,12.62,9.96,-7.522,-0.055,-7.567
"2020-11-09 00:00:00",34,12.62,9.96,-8.29,-0.32,-9
"2020-11-09 01:00:00",35,12.58,9.95,-10.62,-0.5,-11.41
"2020-11-09 02:00:00",36,12.61,9.95,-12.42,-0.224,-12.77
"2020-11-09 03:00:00",37,12.56,9.94,-12.81,0.275,-12.26
"2020-11-09 04:00:00",38,12.54,9.92,-14.52,-0.223,-14.13
"2020-11-09 05:00:00",39,12.58,9.87,-13.57,0.442,-12.23
"2020-11-09 06:00:00",40,12.58,9.86,-12.28,0.521,-11.64
"2020-11-09 07:00:00",41,12.58,9.8,-12.71,0.348,-12.37
"2020-11-09 08:00:00",42,12.58,9.78,-11.32,0.587,-10.23
"2020-11-09 09:00:00",43,12.58,9.79,-9.82,0.852,-9.02
"2020-11-09 10:00:00",44,12.59,9.8,-8.09,1.202,-7.029
"2020-11-09 11:00:00",45,12.66,9.83,-5.278,2.248,-4.083
"2020-11-09 12:00:00",46,12.6,9.85,-4.739,1.031,-4.607
"2020-11-09 13:00:00",47,12.61,9.87,-4.519,0.627,-4.476
