DATETIME,TA,RH,VW,ISWR,RSWR,ILWR,TSS,PSUM,HS,TSG
,C,%,M/S,W/M2,W/M2,W/M2,C,MM,MM,C
2020-10-02T00:00:00,20.63,27.24,0.93,207.7,23.98,243.8,17.85,429.514,163.068,18.46
2020-10-02T01:00:00,18.96,19.29,0.91,57.22,14.15,237.8,13.81,429.514,165.1,16
2020-10-02T02:00:00,17.94,17.93,1.77,3.19,5.58,234.4,10.68,429.26,164.084,13.74
2020-10-02T03:00:00,17.79,16.78,1.54,0,4.36,238.1,9.78,429.006,164.084,12.12
2020-10-02T04:00:00,18.45,14.3,0.9,0,5.1,239,9.08,429.006,166.878,11.15
2020-10-02T05:00:00,18.15,16.81,0.87,0,4.87,239.5,8.49,428.752,165.1,10.3
2020-10-02T06:00:00,17.97,18.32,0.79,0,5.04,243.7,8.15,428.752,163.068,9.68
2020-10-02T07:00:00,18.28,17.27,0.87,0,5.59,244.8,8.23,428.498,160.02,9.42
2020-10-02T08:00:00,18.21,18.14,1.05,0,5.07,244.7,8.46,428.498,166.116,9.31
2020-10-02T09:00:00,18.04,17.3,0.98,0,5.03,244.3,8.13,428.498,162.052,9.13
2020-10-02T10:00:00,17.46,18,1.39,0,4.35,243.7,7.91,428.244,163.068,8.87
2020-10-02T11:00:00,16.98,21.08,1.51,0,0,240.7,7.8,427.99,164.084,8.77
2020-10-02T12:00:00,16.61,25.35,1.04,0,0,240.3,7.58,427.99,163.068,8.6
2020-10-02T13:00:00,16.7,25.91,1.22,0,0,239.8,7.77,427.99,166.878,8.49
2020-10-02T14:00:00,16.35,26.31,1.3,0,0,240.2,7.41,427.99,166.878,8.44
2020-10-02T15:00:00,16.07,27.17,1.57,23.84,4.25,244.6,7.6,427.736,163.068,8.27
2020-10-02T16:00:00,16.03,28.17,1.31,48.84,7.95,243.8,7.95,427.736,166.878,8.5
2020-10-02T17:00:00,17.93,25.75,1.38,108.9,20.14,250.6,10.35,427.736,162.052,9.03
2020-10-02T18:00:00,20.53,24.41,1.23,521.9,52.97,268.6,16.58,427.736,167.894,11.53
2020-10-02T19:00:00,20.9,23.57,1.72,623.5,63.88,271.6,22.21,427.99,160.02,14.88
2020-10-02T20:00:00,21.72,23.34,1.42,661.1,67.03,270.5,25.72,428.498,160.02,16.43
2020-10-02T21:00:00,23.12,22.55,1.41,740,87.4,269.3,31.26,428.498,161.036,20.07
2020-10-02T22:00:00,22.73,21.6,1.42,634.5,75.23,261.6,30.8,429.006,154.94,22.53
2020-10-02T23:00:00,21.5,23.07,1.67,436.3,49.92,262.4,24.75,429.006,160.02,20.62
2020-10-03T00:00:00,19.76,25.21,1.93,186.9,23.94,249.9,18.03,429.006,164.084,18.79
2020-10-03T01:00:00,18.18,29.39,1.61,49.25,12.48,243.5,14.01,428.752,162.052,16.4
2020-10-03T02:00:00,16.94,29.11,1.55,0.82,4.87,244.3,10.93,428.498,163.068,14.29
2020-10-03T03:00:00,17.4,22.49,1.42,0,5.08,247.2,10.5,428.498,165.1,12.84
2020-10-03T04:00:00,17.86,19.24,1.34,0,4.98,245.2,10.04,428.244,166.878,12.11
2020-10-03T05:00:00,17.72,22.57,1.49,0,4.89,244.5,9.6,427.99,165.1,11.47
2020-10-03T06:00:00,17.3,24.13,1.69,0,4.48,243.6,9.62,427.99,166.878,11.14
2020-10-03T07:00:00,17.12,25.34,1.36,0,4.6,241.8,9.06,427.99,162.052,10.79
2020-10-03T08:00:00,16.79,24.46,1.08,0,5.08,239.6,8.22,427.736,164.084,10.18
2020-10-03T09:00:00,16.87,20.12,1.26,0,5.06,235.4,8.01,427.482,168.91,9.75
2020-10-03T10:00:00,16.58,21.09,1.88,0,4.4,234.2,8.07,427.482,162.052,9.52
2020-10-03T11:00:00,16.01,25.21,1.63,0,0,230.3,7.34,427.482,166.116,9.25
2020-10-03T12:00:00,15.37,26.82,1.56,0,0,229.5,6.83,427.482,166.116,8.85
2020-10-03T13:00:00,15.26,26.63,1.96,0,0,230.3,6.64,427.228,165.1,8.52
2020-10-03T14:00:00,15.17,28.06,2,0,0,230.2,6.49,427.228,165.1,8.31
2020-10-03T15:00:00,15.02,29.05,1.69,28.35,5.28,235.9,6.95,427.228,162.052,8.24
2020-10-03T16:00:00,15.18,28.96,1.36,62.68,9.98,237.7,7.66,426.974,117.094,8.49
2020-10-03T17:00:00,16.27,29.15,1.25,118.1,19.57,240.5,9.35,426.974,167.894,9.04
2020-10-03T18:00:00,19.99,25.09,1.02,545.8,53.89,250.6,14.77,426.974,166.116,11.04
2020-10-03T19:00:00,21.33,25.55,0.99,696.9,62.76,253.8,,427.228,163.068,14.37
2020-10-03T20:00:00,21.31,23.66,1.18,737,66.67,256,25.24,427.736,163.068,15.56
2020-10-03T21:00:00,21.98,24.49,1.18,710.9,81.3,255.9,29.89,427.99,162.052,19.8
2020-10-03T22:00:00,21.09,23.42,1.7,617.4,73.74,252,29.14,428.244,166.878,21.88
2020-10-03T23:00:00,20.3,24.52,1.89,475.8,54.9,248.9,23.58,428.244,165.1,20.26
2020-10-04T00:00:00,19.51,25.26,1.57,214.1,25.77,245.5,17.43,428.244,165.1,18.53
2020-10-04T01:00:00,17.96,29.05,0.81,57.24,13.88,243.1,13.52,427.99,113.03,16.16
2020-10-04T02:00:00,17.23,22.87,0.55,0.86,5.62,240.9,10.01,427.99,165.1,13.81
2020-10-04T03:00:00,17.13,24.85,0.78,0,5.15,242.2,8.95,427.736,152.908,12.08
2020-10-04T04:00:00,17.69,18.85,1.04,0,4.92,246,8.76,427.736,165.1,11.18
2020-10-04T05:00:00,17.94,19.52,0.97,0,4.79,251,8.9,427.482,165.1,10.6
2020-10-04T06:00:00,18.22,20.31,0.9,0,4.65,251.2,9.07,427.482,164.084,10.41
2020-10-04T07:00:00,16.45,25.15,0.74,0,3.11,248.4,7.41,427.482,147.066,9.93
2020-10-04T08:00:00,15.41,23.99,0.75,0,3.96,247.3,6.09,427.482,163.068,9.01
2020-10-04T09:00:00,15.42,23.57,0.82,0.57,4.53,247.1,5.64,427.228,149.098,8.34
2020-10-04T10:00:00,15.17,24.54,0.85,0.11,4.33,247,5.34,427.228,85.09,7.87
2020-10-04T11:00:00,14.61,23.56,0.82,0,0,242.8,5,426.974,165.1,7.46
2020-10-04T12:00:00,14.78,23.42,0.82,0,0,241.5,4.8,426.974,161.036,7.11
2020-10-04T13:00:00,14.3,22.37,0.73,0,0,240.5,4.57,426.72,150.114,6.79
2020-10-04T14:00:00,13.66,24.84,0.76,0,0,239.3,4.24,426.72,146.05,6.5
2020-10-04T15:00:00,13.95,27.21,0.84,24.5,3.9,243.1,5.08,426.466,164.084,6.52
2020-10-04T16:00:00,15.44,23.94,0.75,52.97,9.39,244.4,6.84,426.466,154.94,7.13
2020-10-04T17:00:00,18.04,20.98,0.62,108.4,19.17,245.5,9.23,426.466,162.052,8.09
2020-10-04T18:00:00,22.48,19.66,1.07,560.4,55.25,254.2,15.05,426.466,161.036,10.7
2020-10-04T19:00:00,23.24,18.62,1.14,715.9,63.85,256.1,22.22,426.974,156.972,14.53
2020-10-04T20:00:00,22.9,19.03,0.98,753.2,66.4,256.5,25.44,427.482,167.894,15.62
2020-10-04T21:00:00,23.7,17.39,0.9,708.6,80.9,256.1,30.45,427.482,160.02,20.6
2020-10-04T22:00:00,22.56,17.74,1.06,601.5,69.37,253.6,29.66,427.736,156.972,22.74
2020-10-04T23:00:00,21.62,22.29,0.88,450.7,46.7,252.9,24.29,427.99,162.052,21.2
2020-10-05T00:00:00,19.5,25.96,1.17,203.9,21.09,249.8,17.66,427.99,166.878,19.19
2020-10-05T01:00:00,17.2,28.45,1.4,51.17,11.44,247.6,13.52,427.736,71.882,16.43
2020-10-05T02:00:00,15.81,30.28,1.9,0,4.21,242.8,10.11,427.482,162.052,14.04
2020-10-05T03:00:00,15.83,28.76,2.31,0,3.81,239.3,9.25,427.228,150.114,12.47
2020-10-05T04:00:00,15.52,26.88,2.07,0,3.85,236,8.26,426.974,166.878,11.54
2020-10-05T05:00:00,15.01,29.46,1.98,0,3.77,233.8,7.62,426.974,160.02,10.77
2020-10-05T06:00:00,14.52,32.2,2.09,0,3.59,231.5,6.94,426.72,165.1,10
2020-10-05T07:00:00,14.18,34.06,2.29,0,3.55,232.2,7.03,426.72,106.934,9.7
2020-10-05T08:00:00,13.83,33.24,2.09,0,3.61,231.7,6.49,426.466,152.908,9.36
2020-10-05T09:00:00,13.14,33.58,1.78,0,3.79,228.4,5.46,426.212,52.07,8.81
2020-10-05T10:00:00,12.97,32.4,1.79,0,3.82,226.1,4.96,426.212,128.016,8.21
2020-10-05T11:00:00,12.91,28.56,1.76,0,0,219.8,4.45,425.958,154.94,7.69
2020-10-05T12:00:00,12.67,32.52,1.68,0,0,217.8,3.97,425.958,166.116,7.21
2020-10-05T13:00:00,12.16,34.34,1.73,0,0,216.8,3.45,425.704,162.052,6.69
2020-10-05T14:00:00,12.09,31.93,1.7,0,0,218.4,2.97,425.704,70.104,6.2
2020-10-05T15:00:00,11.53,33.3,1.11,14.47,2.8,233.5,3.11,425.704,170.942,5.8
2020-10-05T16:00:00,12.11,35.68,0.73,31.77,6.88,238.1,4.2,425.704,169.926,6.09
2020-10-05T17:00:00,14.5,32.71,0.63,80,17.01,240.5,5.89,425.45,163.068,6.74
2020-10-05T18:00:00,19.11,28.91,0.5,565.3,52.89,251.4,11.95,425.704,166.878,9.23
2020-10-05T19:00:00,19.5,27.15,0.9,731.6,55.95,254.2,19.52,425.958,166.116,12.93
2020-10-05T20:00:00,19.36,28.41,1.08,767.7,61.17,255.7,22.53,426.212,163.068,14.07
2020-10-05T21:00:00,20.09,27.36,1.48,735.1,79.29,253.9,28.45,426.466,163.068,19.59
2020-10-05T22:00:00,20.43,27.49,1.33,645.7,70.56,250.8,28.76,426.72,163.068,22.21
2020-10-05T23:00:00,19.46,25.39,1.35,497,47.27,247.7,22.14,426.974,105.918,20.33
2020-10-06T00:00:00,18.56,25.8,0.94,206.9,19.09,242.8,14.93,426.974,164.084,17.85
2020-10-06T01:00:00,16.51,29.97,1.12,41.32,10.88,240.8,11.44,426.974,107.95,14.85
2020-10-06T02:00:00,14.81,31.48,1.7,0,4.36,238.1,8.45,426.72,117.094,12.57
2020-10-06T03:00:00,14.98,23.2,2.62,0,3.65,235.5,7.95,426.72,0,11.17
2020-10-06T04:00:00,14.52,20.11,0.91,0,3.48,236.9,6.16,426.466,164.084,10.1
2020-10-06T05:00:00,14.47,24.13,0.68,0,4.47,237.8,5.18,426.466,115.062,8.83
2020-10-06T06:00:00,14.23,23.93,0.73,0,4.22,238.5,4.74,426.212,166.116,8.08
